	origin	familyOrigin	homologueTaxon	symbol	aliases	diseases	diseaseCategories	name	ncbiId	commentCause	uniprot	functionalClusters	expressionChange	ensembl	methylationCorrelation
15		{'id': 24, 'phylum': '', 'age': '', 'order': 24}		RPTOR	['KOG1', 'Mip1']	[]	[]	regulatory associated protein of MTOR complex 1	57521	{'2': 'Genomic, transcriptome, and proteomic associations with lifespan/age-related phenotype', '8': 'Age-related changes in gene expression/protein activity in mammals', '14': 'Other evidence', '17': 'Modulation of gene activity enhances age-related deterioration'}		[{'id': 27, 'name': 'signaling'}, {'id': 32, 'name': 'autophagy'}, {'id': 3, 'name': 'transcription regulation'}, {'id': 4, 'name': 'stress response'}, {'id': 5, 'name': 'cell cycle'}]	3	ENSG00000141564	
16		{'id': 24, 'phylum': '', 'age': '', 'order': 24}		 RHOA	['ARH12', 'ARHA', 'EDFAOB', 'RHO12', 'RHOH12']	[]	[]	ras homolog family member A	387	{'2': 'Genomic, transcriptome, and proteomic associations with lifespan/age-related phenotype', '8': 'Age-related changes in gene expression/protein activity in mammals', '14': 'Other evidence'}		[{'id': 12, 'name': 'cytoskeleton organization'}, {'id': 27, 'name': 'signaling'}, {'id': 55, 'name': 'tissue regeneration'}, {'id': 61, 'name': 'protein modification'}]	3	ENSG00000067560	
17		{'id': 24, 'phylum': '', 'age': '', 'order': 24}		EIF4EBP1	['4E-BP1', '4EBP1', 'BP-1', 'PHAS-I']	[]	[]	eukaryotic translation initiation factor 4E binding protein 1	1978	{'2': 'Genomic, transcriptome, and proteomic associations with lifespan/age-related phenotype', '14': 'Other evidence'}		[{'id': 18, 'name': 'translation regulation'}, {'id': 4, 'name': 'stress response'}, {'id': 5, 'name': 'cell cycle'}]	0	ENSG00000187840	
18	{'id': 24, 'phylum': '', 'age': '', 'order': 24}	{'id': 24, 'phylum': '', 'age': '', 'order': 24}		ACAN	['AGC1', 'AGCAN', 'CSPG1', 'CSPGCP', 'MSK16', 'SEDK', 'SSOAOD']	{'587': {'icdCode': 'M93.2', 'icdName': 'Osteochondritis dissecans', 'name': 'Osteochondritis dissecans, short stature, and early-onset osteoarthritis'}, '588': {'icdCode': 'Q77.7', 'icdName': 'Spondyloepiphyseal dysplasia', 'name': 'Spondyloepiphyseal dysplasia, kimberley type'}, '589': {'icdCode': 'Q77.7', 'icdName': 'Spondyloepiphyseal dysplasia', 'name': 'Spondyloepimetaphyseal dysplasia, aggrecan type'}}	{'775': {'icdCode': 'Q65-Q79', 'icdCategoryName': 'Congenital malformations and deformations of the musculoskeletal system'}, '839': {'icdCode': 'M80-M94', 'icdCategoryName': 'Osteopathies and chondropathies'}}	aggrecan	176	{'9': 'Age-related changes in gene expression/protein activity in humans'}		[{'id': 17, 'name': 'intercellular matrix'}, {'id': 31, 'name': 'nervous system'}, {'id': 35, 'name': 'bone health'}, {'id': 37, 'name': 'proteolysis'}, {'id': 6, 'name': 'embryonic development'}]	3	ENSG00000157766	
19		{'id': 24, 'phylum': '', 'age': '', 'order': 24}		NRIP1	['CAKUT3', 'RIP140']	[]	[]	nuclear receptor interacting protein 1	8204	{'6': 'Gene activity modulation increases mammalian lifespan', '8': 'Age-related changes in gene expression/protein activity in mammals', '13': 'Modulation of gene activity protects against age-related impairment', '14': 'Other evidence', '17': 'Modulation of gene activity enhances age-related deterioration'}		[{'id': 27, 'name': 'signaling'}, {'id': 3, 'name': 'transcription regulation'}, {'id': 59, 'name': 'reproductive function'}]	3	ENSG00000180530	
20		{'id': 24, 'phylum': '', 'age': '', 'order': 24}		EZH2	['ENX-1', 'ENX1', 'EZH2b', 'KMT6', 'KMT6A', 'WVS', 'WVS2']	{'939': {'icdCode': 'Q87.3', 'icdName': 'Congenital malformation syndromes involving early overgrowth', 'name': 'Weaver syndrome'}}	{'143': {'icdCode': 'Q80-Q89', 'icdCategoryName': 'Other congenital malformations'}, '764': {'icdCode': 'Q80-Q89', 'icdCategoryName': 'Other congenital malformations'}}	enhancer of zeste 2 polycomb repressive complex 2 subunit	2146	{'10': 'Gene regulates aging-related genes', '13': 'Modulation of gene activity protects against age-related impairment', '14': 'Other evidence'}		[{'id': 15, 'name': 'epigenetic changes'}, {'id': 31, 'name': 'nervous system'}, {'id': 36, 'name': 'muscle health'}, {'id': 55, 'name': 'tissue regeneration'}, {'id': 5, 'name': 'cell cycle'}, {'id': 6, 'name': 'embryonic development'}]	0	ENSG00000106462	
21		{'id': 21, 'phylum': 'Boreoeutheria', 'age': '', 'order': 21}		LAIR1	['CD305', 'LAIR-1']	[]	[]	leukocyte associated immunoglobulin like receptor 1	3903	{'8': 'Age-related changes in gene expression/protein activity in mammals', '9': 'Age-related changes in gene expression/protein activity in humans', '10': 'Gene regulates aging-related genes', '13': 'Modulation of gene activity protects against age-related impairment', '14': 'Other evidence'}		[{'id': 10, 'name': 'immune function'}, {'id': 26, 'name': 'inflammation'}]	3	ENSG00000167613	
22		{'id': 5, 'phylum': 'Mammalia', 'age': '190', 'order': 18}	Euteleostomi	CETP	['BPIFF', 'HDLCQ10']	{'280': {'icdCode': 'E78.4', 'icdName': 'Other hyperlipidaemia', 'name': 'Hyperalphalipoproteinemia 1'}}	{'757': {'icdCode': 'E70-E90', 'icdCategoryName': 'Metabolic disorders'}}	cholesteryl ester transfer protein, plasma	1071	{'2': 'Genomic, transcriptome, and proteomic associations with lifespan/age-related phenotype'}	CETP_HUMAN	[{'id': 22, 'name': 'lipid metabolism'}, {'id': 54, 'name': 'cholesterol metabolism'}]	0	ENSG00000087237	
23		{'id': 5, 'phylum': 'Mammalia', 'age': '190', 'order': 18}		SERTAD3	['RBT1']	[]	[]	SERTA domain containing 3	29946	{'10': 'Gene regulates aging-related genes'}		[{'id': 53, 'name': 'carcinogenesis'}]	0	ENSG00000167565	
24		{'id': 5, 'phylum': 'Mammalia', 'age': '190', 'order': 18}		BEX3	['Bex', 'DXS6984E', 'HGR74', 'NADE', 'NGFRAP1']	[]	[]	brain expressed X-linked 3	27018	{'13': 'Modulation of gene activity protects against age-related impairment'}		[{'id': 27, 'name': 'signaling'}, {'id': 5, 'name': 'cell cycle'}, {'id': 6, 'name': 'embryonic development'}]	0	ENSG00000166681	
25		{'id': 5, 'phylum': 'Mammalia', 'age': '190', 'order': 18}		AHSP	['EDRF', 'ERAF']	[]	[]	alpha hemoglobin stabilizing protein	51327	{'9': 'Age-related changes in gene expression/protein activity in humans'}		[{'id': 13, 'name': 'proteostasis'}, {'id': 33, 'name': 'hemopoiesis'}]	1	ENSG00000169877	
26		{'id': 17, 'phylum': 'Tetrapoda', 'age': '350', 'order': 16}		COL3A1	['EDS4A', 'EDSVASC', 'PMGEDSV']	{'356': {'icdCode': 'Q79.6', 'icdName': 'Ehlers-Danlos syndrome', 'name': 'Ehlers-danlos syndrome, hypermobility type'}, '357': {'icdCode': 'Q79.6', 'icdName': 'Ehlers-Danlos syndrome', 'name': 'Ehlers-danlos syndrome, type iv, autosomal dominant'}, '358': {'icdCode': 'Q87.4', 'icdName': 'Marfan syndrome', 'name': 'Marfan syndrome'}}	{'143': {'icdCode': 'Q80-Q89', 'icdCategoryName': 'Other congenital malformations'}, '764': {'icdCode': 'Q80-Q89', 'icdCategoryName': 'Other congenital malformations'}, '775': {'icdCode': 'Q65-Q79', 'icdCategoryName': 'Congenital malformations and deformations of the musculoskeletal system'}}	collagen type III alpha 1 chain	1281	{'2': 'Genomic, transcriptome, and proteomic associations with lifespan/age-related phenotype', '8': 'Age-related changes in gene expression/protein activity in mammals', '10': 'Gene regulates aging-related genes', '13': 'Modulation of gene activity protects against age-related impairment', '14': 'Other evidence', '15': 'Gene activity modulation decreases mammalian lifespan', '17': 'Modulation of gene activity enhances age-related deterioration'}		[{'id': 10, 'name': 'immune function'}, {'id': 17, 'name': 'intercellular matrix'}, {'id': 27, 'name': 'signaling'}, {'id': 30, 'name': 'cardiovascular system'}, {'id': 31, 'name': 'nervous system'}, {'id': 34, 'name': 'skin health'}, {'id': 35, 'name': 'bone health'}, {'id': 55, 'name': 'tissue regeneration'}, {'id': 6, 'name': 'embryonic development'}]	3	ENSG00000168542	
27		{'id': 4, 'phylum': 'Euteleostomi', 'age': '420', 'order': 13}	Amniota	IL7R	['CD127', 'CDW127', 'IL-7R-alpha', 'IL7RA', 'ILRA']	{'60': {'icdCode': 'D81.2', 'icdName': 'Severe combined immunodeficiency [SCID] with low or normal B-cell numbers', 'name': 'Severe combined immunodeficiency, autosomal recessive, t cell-negative, b cell-positive, nk cell-positive'}}	{'776': {'icdCode': 'D80-D89', 'icdCategoryName': 'Certain disorders involving the immune mechanism'}}	interleukin 7 receptor	3575	{'9': 'Age-related changes in gene expression/protein activity in humans'}	IL7RA_HUMAN	[{'id': 10, 'name': 'immune function'}, {'id': 27, 'name': 'signaling'}, {'id': 2, 'name': 'DNA metabolism'}, {'id': 3, 'name': 'transcription regulation'}, {'id': 5, 'name': 'cell cycle'}, {'id': 7, 'name': 'cell differentiation'}]	1	ENSG00000168685	
28		{'id': 4, 'phylum': 'Euteleostomi', 'age': '420', 'order': 13}	Boreoeutheria	IL2	['IL-2', 'TCGF', 'lymphokine']	[]	[]	interleukin 2	3558	{'6': 'Gene activity modulation increases mammalian lifespan', '8': 'Age-related changes in gene expression/protein activity in mammals'}	IL2_HUMAN	[{'id': 10, 'name': 'immune function'}, {'id': 26, 'name': 'inflammation'}, {'id': 27, 'name': 'signaling'}, {'id': 5, 'name': 'cell cycle'}, {'id': 7, 'name': 'cell differentiation'}]	3	ENSG00000109471	
29		{'id': 4, 'phylum': 'Euteleostomi', 'age': '420', 'order': 13}	Boreoeutheria	IL7	['IL-7']	[]	[]	interleukin 7	3574	{'8': 'Age-related changes in gene expression/protein activity in mammals', '13': 'Modulation of gene activity protects against age-related impairment'}	IL7_HUMAN	[{'id': 10, 'name': 'immune function'}, {'id': 27, 'name': 'signaling'}, {'id': 5, 'name': 'cell cycle'}, {'id': 7, 'name': 'cell differentiation'}]	1		
30		{'id': 4, 'phylum': 'Euteleostomi', 'age': '420', 'order': 13}	Tetrapoda	LEP	['LEPD', 'OB', 'OBS']	{'240': {'icdCode': 'E66.8', 'icdName': 'Other obesity', 'name': 'Leptin deficiency or dysfunction'}}	{'802': {'icdCode': 'E65-E68', 'icdCategoryName': 'Obesity and other hyperalimentation'}}	leptin	3952	{'8': 'Age-related changes in gene expression/protein activity in mammals', '9': 'Age-related changes in gene expression/protein activity in humans'}	LEP_HUMAN	[{'id': 10, 'name': 'immune function'}, {'id': 21, 'name': 'insulin sensitivity'}, {'id': 22, 'name': 'lipid metabolism'}, {'id': 25, 'name': 'oxidation/antioxidant function'}, {'id': 27, 'name': 'signaling'}, {'id': 30, 'name': 'cardiovascular system'}, {'id': 32, 'name': 'autophagy'}, {'id': 35, 'name': 'bone health'}, {'id': 3, 'name': 'transcription regulation'}, {'id': 5, 'name': 'cell cycle'}, {'id': 7, 'name': 'cell differentiation'}, {'id': 8, 'name': 'glucose metabolism'}]	2	ENSG00000174697	
31		{'id': 4, 'phylum': 'Euteleostomi', 'age': '420', 'order': 13}	Euteleostomi	LEPR	['CD295', 'LEP-R', 'LEPRD', 'OB-R', 'OBR']	{'241': {'icdCode': 'E66.8', 'icdName': 'Other obesity', 'name': 'Leptin receptor deficiency'}}	{'802': {'icdCode': 'E65-E68', 'icdCategoryName': 'Obesity and other hyperalimentation'}}	leptin receptor	3953	{'9': 'Age-related changes in gene expression/protein activity in humans'}	LEPR_HUMAN	[{'id': 10, 'name': 'immune function'}, {'id': 13, 'name': 'proteostasis'}, {'id': 14, 'name': 'transport'}, {'id': 22, 'name': 'lipid metabolism'}, {'id': 27, 'name': 'signaling'}, {'id': 30, 'name': 'cardiovascular system'}, {'id': 31, 'name': 'nervous system'}, {'id': 35, 'name': 'bone health'}, {'id': 54, 'name': 'cholesterol metabolism'}, {'id': 59, 'name': 'reproductive function'}, {'id': 6, 'name': 'embryonic development'}, {'id': 8, 'name': 'glucose metabolism'}]	1	ENSG00000116678	
32		{'id': 4, 'phylum': 'Euteleostomi', 'age': '420', 'order': 13}		IFNG	['IFG', 'IFI', 'IMD69']	{'89': {'icdCode': 'D61.0', 'icdName': 'Constitutional aplastic anaemia', 'name': 'Aplastic anemia'}, '306': {'icdCode': 'A15', 'icdName': 'Respiratory tuberculosis, bacteriologically and histologically confirmed', 'name': 'Mycobacterium tuberculosis, susceptibility to'}, '307': {'icdCode': 'Q85.1', 'icdName': 'Tuberous sclerosis', 'name': 'Tuberous sclerosis'}, '308': {'icdCode': 'B20-B24', 'icdName': 'Human immunodeficiency virus [HIV] disease', 'name': 'Human immunodeficiency virus type 1, susceptibility to'}, '309': {'icdCode': 'B15-B19', 'icdName': 'Viral hepatitis', 'name': 'Hepatitis c virus, susceptibility to'}}	{'143': {'icdCode': 'Q80-Q89', 'icdCategoryName': 'Other congenital malformations'}, '308': {'icdCode': 'B20-B24', 'icdCategoryName': 'Human immunodeficiency virus [HIV] disease'}, '309': {'icdCode': 'B15-B19', 'icdCategoryName': 'Viral hepatitis'}, '553': {'icdCode': 'B15-B19', 'icdCategoryName': 'Viral hepatitis'}, '705': {'icdCode': 'A15-A19', 'icdCategoryName': 'Tuberculosis'}, '763': {'icdCode': 'D60-D64', 'icdCategoryName': 'Aplastic and other anaemias'}, '764': {'icdCode': 'Q80-Q89', 'icdCategoryName': 'Other congenital malformations'}}	interferon gamma	3458	{'8': 'Age-related changes in gene expression/protein activity in mammals', '9': 'Age-related changes in gene expression/protein activity in humans', '10': 'Gene regulates aging-related genes'}		[{'id': 10, 'name': 'immune function'}, {'id': 13, 'name': 'proteostasis'}, {'id': 21, 'name': 'insulin sensitivity'}, {'id': 26, 'name': 'inflammation'}, {'id': 31, 'name': 'nervous system'}, {'id': 32, 'name': 'autophagy'}, {'id': 3, 'name': 'transcription regulation'}, {'id': 56, 'name': 'apoptosis'}, {'id': 5, 'name': 'cell cycle'}, {'id': 61, 'name': 'protein modification'}, {'id': 7, 'name': 'cell differentiation'}, {'id': 8, 'name': 'glucose metabolism'}]	2	ENSG00000111537	
33		{'id': 4, 'phylum': 'Euteleostomi', 'age': '420', 'order': 13}		IL15	['IL-15']	[]	[]	interleukin 15	3600	{'8': 'Age-related changes in gene expression/protein activity in mammals', '9': 'Age-related changes in gene expression/protein activity in humans', '13': 'Modulation of gene activity protects against age-related impairment'}		[{'id': 10, 'name': 'immune function'}, {'id': 26, 'name': 'inflammation'}, {'id': 27, 'name': 'signaling'}, {'id': 36, 'name': 'muscle health'}, {'id': 5, 'name': 'cell cycle'}]	1	ENSG00000164136	
34		{'id': 4, 'phylum': 'Euteleostomi', 'age': '420', 'order': 13}		IL15RA	['CD215']	[]	[]	interleukin 15 receptor subunit alpha	3601	{'8': 'Age-related changes in gene expression/protein activity in mammals'}		[{'id': 10, 'name': 'immune function'}, {'id': 26, 'name': 'inflammation'}, {'id': 27, 'name': 'signaling'}, {'id': 36, 'name': 'muscle health'}, {'id': 5, 'name': 'cell cycle'}]	1	ENSG00000134470	
35		{'id': 4, 'phylum': 'Euteleostomi', 'age': '420', 'order': 13}		GPR17	[]	[]	[]	G protein-coupled receptor 17	2840	{'8': 'Age-related changes in gene expression/protein activity in mammals', '13': 'Modulation of gene activity protects against age-related impairment'}	GPR17_HUMAN	[{'id': 26, 'name': 'inflammation'}, {'id': 27, 'name': 'signaling'}, {'id': 31, 'name': 'nervous system'}, {'id': 7, 'name': 'cell differentiation'}]	1	ENSG00000144230	
36		{'id': 4, 'phylum': 'Euteleostomi', 'age': '420', 'order': 13}		ADIPOQ	['ACDC', 'ACRP30', 'ADIPQTL1', 'ADPN', 'APM-1', 'APM1', 'GBP28']	{'327': {'icdCode': '', 'icdName': '', 'name': 'Adiponectin, serum level of, quantitative trait locus 1'}}	[]	adiponectin, C1Q and collagen domain containing	9370	{'9': 'Age-related changes in gene expression/protein activity in humans', '13': 'Modulation of gene activity protects against age-related impairment'}	ADIPO_HUMAN	[{'id': 21, 'name': 'insulin sensitivity'}, {'id': 22, 'name': 'lipid metabolism'}, {'id': 25, 'name': 'oxidation/antioxidant function'}, {'id': 26, 'name': 'inflammation'}, {'id': 27, 'name': 'signaling'}, {'id': 29, 'name': 'endocrine system'}, {'id': 2, 'name': 'DNA metabolism'}, {'id': 30, 'name': 'cardiovascular system'}, {'id': 3, 'name': 'transcription regulation'}, {'id': 7, 'name': 'cell differentiation'}, {'id': 8, 'name': 'glucose metabolism'}]	2	ENSG00000181092	
37		{'id': 4, 'phylum': 'Euteleostomi', 'age': '420', 'order': 13}		DAG1	['156DAG', 'A3a', 'AGRNR', 'DAG', 'LGMDR16', 'MDDGA9', 'MDDGC7', 'MDDGC9']	{'340': {'icdCode': 'G71.0', 'icdName': 'Muscular dystrophy', 'name': 'Muscular dystrophy, limb-girdle, autosomal recessive'}, '341': {'icdCode': 'G71.0', 'icdName': 'Muscular dystrophy', 'name': 'Muscular dystrophy-dystroglycanopathy, type a'}}	{'773': {'icdCode': 'G70-G73', 'icdCategoryName': 'Diseases of myoneural junction and muscle'}}	dystroglycan 1	1605	{'13': 'Modulation of gene activity protects against age-related impairment'}		[{'id': 12, 'name': 'cytoskeleton organization'}, {'id': 17, 'name': 'intercellular matrix'}, {'id': 27, 'name': 'signaling'}, {'id': 30, 'name': 'cardiovascular system'}, {'id': 31, 'name': 'nervous system'}, {'id': 36, 'name': 'muscle health'}, {'id': 37, 'name': 'proteolysis'}, {'id': 53, 'name': 'carcinogenesis'}, {'id': 55, 'name': 'tissue regeneration'}, {'id': 6, 'name': 'embryonic development'}, {'id': 7, 'name': 'cell differentiation'}]	0	ENSG00000173402	
38		{'id': 14, 'phylum': 'Gnathostomata', 'age': '440', 'order': 11}		DLK2	['DLK-2', 'EGFL9']	[]	[]	delta like non-canonical Notch ligand 2	65989	{'9': 'Age-related changes in gene expression/protein activity in humans'}		[{'id': 27, 'name': 'signaling'}, {'id': 7, 'name': 'cell differentiation'}, {'id': 9, 'name': 'calcium homeostasis'}]	2	ENSG00000171462	
